game_id,parent_id,year,iteration,reimplementation,expansion,compilation
224517,28720,2018,2,1,0,0
161936,30549,2015,2,1,0,0
174430,365186,2017,1,0,1,0
342942,368966,2021,1,0,1,0
233078,12493,2017,2,1,1,0
167791,296298,2016,1,0,1,0
291457,380753,2020,1,0,1,0
316554,368867,2020,1,0,1,0
115746,9609,2011,2,1,1,0
187645,226840,2016,1,0,1,0
162886,193065,2017,1,0,1,0
220308,120677,2017,2,1,0,0
182028,25613,2015,2,1,1,0
12333,117145,2005,1,0,1,0
193738,256951,2016,1,0,1,0
169786,276229,2016,1,0,1,0
84876,178656,2011,1,0,1,1
173346,68448,2015,2,1,1,0
167355,295927,2018,1,0,1,0
28720,201381,2007,1,0,1,0
246900,72125,2020,2,1,1,0
124361,209574,2013,1,0,1,0
177736,232298,2016,1,0,1,0
266507,201808,2019,2,1,1,0
266192,339017,2019,1,0,1,0
120677,149890,2012,1,0,1,1
205637,379286,2016,1,0,1,0
237182,374676,2018,1,0,1,0
312484,349330,2020,1,0,1,0
164928,178656,2014,1,0,1,1
199792,289057,2018,1,0,1,1
96848,277519,2011,1,0,1,1
183394,128621,2015,2,1,1,1
341169,193738,2021,2,1,1,0
251247,304453,2019,1,0,1,0
324856,284083,2021,2,1,1,0
175914,261526,2015,1,0,1,0
192135,330260,2017,1,0,1,0
285774,388330,2019,1,0,1,0
256960,155255,2019,3,1,0,0
3076,286086,2002,1,0,1,1
247763,263920,2018,1,0,1,0
102794,31260,2013,2,1,1,0
170216,23985,2015,2,1,1,0
185343,297528,2017,1,0,1,1
31260,59158,2007,1,0,1,0
295947,368114,2021,1,0,1,0
184267,278241,2020,1,0,1,0
314040,30549,2020,3,1,0,0
221107,30549,2017,3,1,0,0
